2460676.500000000, A.D. 2025-Jan-01 00:00:00.0000, -2.758784301577131E+07,  1.439240041359807E+08,  1.919915474978089E+04, -2.977686364318744E+01, -5.535813374228486E+00, -1.943178897994002E-04,
2460686.500000000, A.D. 2025-Jan-11 00:00:00.0000, -5.275658366299992E+07,  1.369168580425471E+08,  1.880102596802264E+04, -2.833334454508653E+01, -1.063166484801288E+01,  2.028287632720449E-04,
2460696.500000000, A.D. 2025-Jan-21 00:00:00.0000, -7.630953351991166E+07,  1.256535551070378E+08,  1.993706240770221E+04, -2.605243503989263E+01, -1.537893791666904E+01,  1.766843329579437E-03,
2460706.500000000, A.D. 2025-Jan-31 00:00:00.0000, -9.753979727087554E+07,  1.104706122551429E+08,  2.074455165183544E+04, -2.295729567781292E+01, -1.967495720223277E+01, -1.587685272141925E-05,
2460716.500000000, A.D. 2025-Feb-10 00:00:00.0000, -1.157718355389456E+08,  9.184824222861868E+07,  2.113754602636769E+04, -1.914784642926302E+01, -2.331082891570420E+01,  1.605034312362363E-03,
2460726.500000000, A.D. 2025-Feb-20 00:00:00.0000, -1.304775036821726E+08,  7.039597283430500E+07,  2.300666635048017E+04, -1.481100003880368E+01, -2.622566204731263E+01,  1.931021343237305E-03,
2460736.500000000, A.D. 2025-Mar-02 00:00:00.0000, -1.412326709433234E+08,  4.675789034776834E+07,  2.377266885152087E+04, -1.001833314911013E+01, -2.834630247687077E+01,  2.639720436476978E-04,
2460746.500000000, A.D. 2025-Mar-12 00:00:00.0000, -1.477141940835324E+08,  2.168058462514721E+07,  2.490406915710401E+04, -4.963797286971407E+00, -2.955342158063820E+01,  2.439202809618735E-03,
2460756.500000000, A.D. 2025-Mar-22 00:00:00.0000, -1.497864786704884E+08, -4.063551174735093E+06,  2.689244813187211E+04,  1.753635913522725E-01, -2.989716193721651E+01,  1.485938279357057E-03,
2460766.500000000, A.D. 2025-Apr-01 00:00:00.0000, -1.474113553137676E+08, -2.972574158963430E+07,  2.743936437926628E+04,  5.306839759142238E+00, -2.934993230879416E+01,  6.694089460790309E-04,
2460776.500000000, A.D. 2025-Apr-11 00:00:00.0000, -1.406854257512996E+08, -5.452127976147607E+07,  2.900296049929410E+04,  1.020880018057258E+01, -2.791250893339309E+01,  2.465127892484986E-03,
2460786.500000000, A.D. 2025-Apr-21 00:00:00.0000, -1.298685134530253E+08, -7.774002453036483E+07,  3.047283500096947E+04,  1.476983988051283E+01, -2.571096427646134E+01,  5.553448442601194E-04,
2460796.500000000, A.D. 2025-May-01 00:00:00.0000, -1.152847194936537E+08, -9.873294355888322E+07,  3.069621479500085E+04,  1.889992745206679E+01, -2.275895790795694E+01,  9.455398925481973E-04,
2460806.500000000, A.D. 2025-May-11 00:00:00.0000, -9.739054476584645E+07, -1.168835441844181E+08,  3.214595085956156E+04,  2.241415758083672E+01, -1.916764493421985E+01,  1.647501591339307E-03,
2460816.500000000, A.D. 2025-May-21 00:00:00.0000, -7.673753801338091E+07, -1.317146739838000E+08,  3.259664120760560E+04,  2.528531936476933E+01, -1.508612604976468E+01, -5.430247413444889E-04,
2460826.500000000, A.D. 2025-May-31 00:00:00.0000, -5.390335754369880E+07, -1.428218952154475E+08,  3.249278285358846E+04,  2.743581571438093E+01, -1.056063988854894E+01,  8.760717652647187E-04,
2460836.500000000, A.D. 2025-Jun-10 00:00:00.0000, -2.956774136574531E+07, -1.498909976175375E+08,  3.330810014395416E+04,  2.876367050233417E+01, -5.775988213721217E+00,  2.713310313433581E-04,
2460846.500000000, A.D. 2025-Jun-20 00:00:00.0000, -4.422690037830805E+06, -1.527662760822169E+08,  3.259213879135251E+04,  2.931294488310527E+01, -8.611257876666381E-01, -1.367674098032179E-03,
2460856.500000000, A.D. 2025-Jun-30 00:00:00.0000,  2.084319214911892E+07, -1.513601372329828E+08,  3.221790798193961E+04,  2.902480619666246E+01,  4.107618297525258E+00,  3.937087141046014E-04,
2460866.500000000, A.D. 2025-Jul-10 00:00:00.0000,  4.549131067203520E+07, -1.457154264372681E+08,  3.205544067588449E+04,  2.790217171424375E+01,  8.921574826893417E+00, -1.279179722620594E-03,
2460876.500000000, A.D. 2025-Jul-20 00:00:00.0000,  6.884554972331010E+07, -1.360131605808479E+08,  3.038988389433920E+04,  2.603429999591791E+01,  1.349514622656634E+01, -1.675356297556441E-03,
2460886.500000000, A.D. 2025-Jul-30 00:00:00.0000,  9.025356485089150E+07, -1.224935719980202E+08,  2.977818429678679E+04,  2.339531137313375E+01,  1.772259668351774E+01, -3.925891453091523E-04,
2460896.500000000, A.D. 2025-Aug-09 00:00:00.0000,  1.090814980399475E+08, -1.055421244274110E+08,  2.855967111705989E+04,  2.009063174537674E+01,  2.142346839405820E+01, -2.570025337167436E-03,
2460906.500000000, A.D. 2025-Aug-19 00:00:00.0000,  1.248121516308072E+08, -8.563436597049999E+07,  2.643610110390931E+04,  1.622935858583733E+01,  2.456242430923947E+01, -1.525406318583222E-03,
2460916.500000000, A.D. 2025-Aug-29 00:00:00.0000,  1.369707078856940E+08, -6.329594006172439E+07,  2.559792489670217E+04,  1.184076504118200E+01,  2.701732880664164E+01, -1.249360585438453E-03,
2460926.500000000, A.D. 2025-Sep-08 00:00:00.0000,  1.451749660577908E+08, -3.917758616787902E+07,  2.354822910793871E+04,  7.108269363421046E+00,  2.868151408595766E+01, -3.179546176374615E-03,
2460936.500000000, A.D. 2025-Sep-18 00:00:00.0000,  1.491871780506819E+08, -1.395501895222536E+07,  2.155662141218688E+04,  2.140971565630113E+00,  2.956890289561739E+01, -1.139732538206317E-03,
